"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"16","1","6.0","7.0","0.0","87.0","6.0","94.0","87.0","13.0","0.2857142857142857","0.7307692307692308","0.46153846153846156","0.6793662204867574","0.35714285714285715","0.7142857142857143","0.3125","11","Attributes","Mutant12"
"16","0","13.0","0.0","16.0","71.0","29.0","71.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.42857142857142855","1.0","0.42857142857142855","11","Class","Mutant12"
"16","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.14285714285714285","0.3333333333333333","0.1111111111111111","11","Package","Mutant12"
"16","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","1.0","0.2857142857142857","11","NamedElement","Mutant12"
"16","0","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.2857142857142857","1.0","0.2857142857142857","11","Property","Mutant12"
"16","0","8.0","5.0","0.0","87.0","8.0","92.0","87.0","13.0","0.4","0.8076923076923077","0.6153846153846154","0.7844645405527362","0.25","0.7","0.21875","11","StrongReferences","Mutant12"
"17","0","9.0","3.0","1.0","87.0","10.0","90.0","88.0","12.0","0.42857142857142855","0.825","0.0026895109074609024","0.8215838362577491","0.35","0.7","0.2916666666666667","12","WeakReferences","Mutant12"
"17","1","12.0","0.0","1.0","87.0","13.0","87.0","88.0","12.0","2.0","0.9615384615384616","0.9230769230769231","0.9607689228305227","0.45","0.75","0.375","12","References","Mutant12"
"17","1","5.0","7.0","1.0","87.0","6.0","94.0","88.0","12.0","0.18518518518518517","0.625","3.5712","0.5892556509887896","0.7","1.0","0.7","12","Attributes","Mutant12"
"17","0","12.0","0.0","17.0","71.0","29.0","71.0","88.0","12.0","0.11764705882352941","0.7068965517241379","0.41379310344827586","0.6432675209026768","0.4","0.6666666666666666","0.3333333333333333","12","Class","Mutant12"
